Starting training for 80000 episodes with Lagrangian method...
Ep 37000/80000, Eps: 0.451, AvgRew: -264236.55, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 15788.082
Ep 38000/80000, Eps: 0.436, AvgRew: -256902.22, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 15870.706
Ep 39000/80000, Eps: 0.421, AvgRew: -251208.95, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 15948.981
Ep 40000/80000, Eps: 0.406, AvgRew: -243729.90, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16021.934
Ep 41000/80000, Eps: 0.391, AvgRew: -235122.05, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16089.035
Ep 42000/80000, Eps: 0.377, AvgRew: -228469.73, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16151.434
Ep 43000/80000, Eps: 0.362, AvgRew: -223419.73, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16210.229
Ep 44000/80000, Eps: 0.347, AvgRew: -219726.94, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16266.380
Ep 45000/80000, Eps: 0.332, AvgRew: -213365.27, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16318.254
Ep 46000/80000, Eps: 0.317, AvgRew: -209020.22, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16367.051
Ep 47000/80000, Eps: 0.302, AvgRew: -201339.01, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16410.965
Ep 48000/80000, Eps: 0.288, AvgRew: -196045.08, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16451.351
Ep 49000/80000, Eps: 0.273, AvgRew: -191706.53, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16488.898
Ep 50000/80000, Eps: 0.258, AvgRew: -185987.28, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16522.845
Ep 51000/80000, Eps: 0.243, AvgRew: -180602.69, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16553.314
Ep 52000/80000, Eps: 0.228, AvgRew: -178064.35, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16582.062
Ep 53000/80000, Eps: 0.213, AvgRew: -173247.53, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16607.793
Ep 54000/80000, Eps: 0.198, AvgRew: -169205.90, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16631.013
Ep 55000/80000, Eps: 0.184, AvgRew: -165724.66, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16652.005
Ep 56000/80000, Eps: 0.169, AvgRew: -160770.88, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16669.986
Ep 57000/80000, Eps: 0.154, AvgRew: -156244.18, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16685.222
Ep 58000/80000, Eps: 0.139, AvgRew: -154664.21, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16699.423
Ep 59000/80000, Eps: 0.124, AvgRew: -148290.02, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16709.831
Ep 60000/80000, Eps: 0.109, AvgRew: -145875.62, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16718.757
Ep 61000/80000, Eps: 0.095, AvgRew: -141636.03, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16725.162
Ep 62000/80000, Eps: 0.080, AvgRew: -138416.16, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16729.624
Ep 63000/80000, Eps: 0.065, AvgRew: -135473.78, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16732.348
Ep 64000/80000, Eps: 0.050, AvgRew: -132064.49, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16733.085
Ep 65000/80000, Eps: 0.050, AvgRew: -130446.96, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16732.864
Ep 66000/80000, Eps: 0.050, AvgRew: -130249.02, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16732.528
Ep 67000/80000, Eps: 0.050, AvgRew: -130547.65, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16732.383
Ep 68000/80000, Eps: 0.050, AvgRew: -130349.40, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16732.104
Ep 69000/80000, Eps: 0.050, AvgRew: -130743.70, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16732.055
Ep 70000/80000, Eps: 0.050, AvgRew: -130324.11, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16731.762
Ep 71000/80000, Eps: 0.050, AvgRew: -130416.66, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16731.528
Ep 72000/80000, Eps: 0.050, AvgRew: -130203.53, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16731.161
Ep 73000/80000, Eps: 0.050, AvgRew: -131306.27, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16731.468
Ep 74000/80000, Eps: 0.050, AvgRew: -130930.27, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16731.521
Ep 75000/80000, Eps: 0.050, AvgRew: -130314.16, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16731.205
Ep 76000/80000, Eps: 0.050, AvgRew: -130743.14, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16731.156
Ep 77000/80000, Eps: 0.050, AvgRew: -130664.53, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16731.075
Ep 78000/80000, Eps: 0.050, AvgRew: -130479.57, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16730.877
Ep 79000/80000, Eps: 0.050, AvgRew: -131200.88, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16731.107
Ep 80000/80000, Eps: 0.050, AvgRew: -130591.25, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 16730.973
Training finished in 0:01:16.273560.
