组别,BMI区间,真实达标时间,预测均值,预测中位数,偏差,RMSE,MAE,标准差,CI_2.5%,CI_97.5%,检测成功率
1,"[-3.9, -0.2]",10.958444444444446,11.345,11.0,0.3865555555555549,0.6126991084789198,0.3865555555555542,0.4753682782853732,11.0,12.0,1.0
2,"[-1.4, 1.6]",11.164303030303032,11.898,12.0,0.7336969696969682,0.7936669599665305,0.7672147878787868,0.3026483107502832,11.0,12.0,1.0
3,"[-0.2, 1.5]",11.370161616161617,11.996,12.0,0.6258383838383832,0.629013261136392,0.6287996767676757,0.063118935352238,12.0,12.0,1.0
4,"[1.6, 4.8]",12.19359595959596,12.782,13.0,0.5884040404040398,0.7188152160074234,0.6728118787878784,0.4128873938497033,12.0,13.0,1.0
