组别,BMI区间,真实达标时间,预测均值,预测中位数,偏差,RMSE,MAE,标准差,CI_2.5%,CI_97.5%,检测成功率
1,"[-3.9, -0.4]",10.958444444444446,11.358,11.0,0.3995555555555548,0.6240838421040138,0.3995555555555542,0.47941214002150595,11.0,12.0,1.0
2,"[-0.4, 0.5]",11.370161616161617,11.993,12.0,0.6228383838383831,0.6283937081021806,0.6280206464646454,0.08337265738837883,12.0,12.0,1.0
3,"[0.5, 1.7]",11.576020202020203,12.006,12.0,0.42997979797979724,0.43685996231143337,0.429979797979797,0.07722693830523131,12.0,12.0,1.0
4,"[2.0, 4.8]",12.19359595959596,12.78,13.0,0.5864040404040392,0.7179621846602945,0.6715862626262623,0.41424630354415964,12.0,13.0,1.0
