eid,bracket,t_hr,cost,gas_cost,food_cost,toll_cost,exp_fine
18,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
18,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
19,0.0000,0.4167,69.7083,36.3750,8.3333,25.0000,0.0000
19,0.2000,0.3472,221.6522,42.1950,6.9444,25.0000,147.5128
19,0.5000,0.2778,265.9953,50.9250,5.5556,25.0000,184.5147
19,0.7000,0.2451,1577.6547,56.7450,4.9020,25.0000,1491.0077
20,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
20,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
20,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
20,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
21,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
21,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
21,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
21,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
22,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
22,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
22,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
22,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
23,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
23,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
23,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
23,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
24,0.0000,0.4167,69.7083,36.3750,8.3333,25.0000,0.0000
24,0.2000,0.3472,221.6522,42.1950,6.9444,25.0000,147.5128
24,0.5000,0.2778,265.9953,50.9250,5.5556,25.0000,184.5147
24,0.7000,0.2451,1577.6547,56.7450,4.9020,25.0000,1491.0077
25,0.0000,0.5556,40.2111,29.1000,11.1111,0.0000,0.0000
25,0.2000,0.4630,153.3588,33.4650,9.2593,0.0000,110.6346
25,0.5000,0.3704,231.9346,40.0125,7.4074,0.0000,184.5147
25,0.7000,0.3268,1044.9186,44.3775,6.5359,0.0000,994.0052
26,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
26,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
26,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
26,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
27,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
27,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
27,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
27,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
28,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
28,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
28,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
28,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
29,0.0000,0.4167,69.7083,36.3750,8.3333,25.0000,0.0000
29,0.2000,0.3472,221.6522,42.1950,6.9444,25.0000,147.5128
29,0.5000,0.2778,265.9953,50.9250,5.5556,25.0000,184.5147
29,0.7000,0.2451,1577.6547,56.7450,4.9020,25.0000,1491.0077
30,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
30,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
30,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
30,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
31,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
31,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
31,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
31,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
32,0.0000,0.5556,40.2111,29.1000,11.1111,0.0000,0.0000
32,0.2000,0.4630,153.3588,33.4650,9.2593,0.0000,110.6346
32,0.5000,0.3704,231.9346,40.0125,7.4074,0.0000,184.5147
32,0.7000,0.3268,1044.9186,44.3775,6.5359,0.0000,994.0052
33,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
33,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
33,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
33,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
34,0.0000,0.4167,69.7083,36.3750,8.3333,25.0000,0.0000
34,0.2000,0.3472,221.6522,42.1950,6.9444,25.0000,147.5128
34,0.5000,0.2778,265.9953,50.9250,5.5556,25.0000,184.5147
34,0.7000,0.2451,1577.6547,56.7450,4.9020,25.0000,1491.0077
35,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
35,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
35,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
35,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
36,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
36,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
36,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
36,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
37,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
37,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
37,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
37,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
38,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
38,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
38,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
38,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
39,0.0000,0.4167,69.7083,36.3750,8.3333,25.0000,0.0000
39,0.2000,0.3472,221.6522,42.1950,6.9444,25.0000,147.5128
39,0.5000,0.2778,265.9953,50.9250,5.5556,25.0000,184.5147
39,0.7000,0.2451,1577.6547,56.7450,4.9020,25.0000,1491.0077
40,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
40,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
40,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
40,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
41,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
41,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
41,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
41,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
42,0.0000,0.5556,40.2111,29.1000,11.1111,0.0000,0.0000
