聚类组,组ID,BMI范围(标准化),样本数,真实达标时间(周),预测均值(周),预测中位数(周),时间偏差(周),RMSE(周),MAE(周),预测标准差(周),CI_2.5%(周),CI_97.5%(周),噪声特征,检测性能
第1组,0,"[-0.196, 0.522]",54,16.578667572811074,17.611622317171282,17.568114929018623,1.0329547443602074,1.1601304981373026,1.032954744360207,0.5281167189287284,16.803057180984666,18.730515164399087,"{'GAMM残差噪声': np.float64(0.028978690880435455), '时间相关噪声': np.float64(0.20049545216161846), '聚类内变异噪声': np.float64(0.20049545216161846), '平均总噪声': np.float64(0.25342363698729337)}","{'10周内检出率': np.float64(0.0), '15周内检出率': np.float64(0.0), '20周内检出率': np.float64(0.999), '有效检测率': np.float64(1.0)}"
第2组,1,"[-1.890, -0.660]",58,17.066693454701788,18.316950999429405,18.247138383811098,1.2502575447276172,1.4044831501198562,1.2502575447276165,0.6398663851322918,17.32470057832344,19.824809409850364,"{'GAMM残差噪声': np.float64(0.02040474353624536), '时间相关噪声': np.float64(0.24270984982482469), '聚类内变异噪声': np.float64(0.24270984982482469), '平均总噪声': np.float64(0.30673639468292896)}","{'10周内检出率': np.float64(0.0), '15周内检出率': np.float64(0.0), '20周内检出率': np.float64(0.988), '有效检测率': np.float64(1.0)}"
第3组,2,"[1.325, 2.605]",15,19.678429127706245,21.558925891627766,21.43452604990783,1.8804967639215207,2.1196943777774484,1.8804967639215178,0.9781800325410569,19.991897263119828,23.73608355240687,"{'GAMM残差噪声': np.float64(0.02345866197379984), '时间相关噪声': np.float64(0.37218905891800197), '聚类内变异噪声': np.float64(0.37218905891800197), '平均总噪声': np.float64(0.4613583817275556)}","{'10周内检出率': np.float64(0.0), '15周内检出率': np.float64(0.0), '20周内检出率': np.float64(0.028), '有效检测率': np.float64(1.0)}"
第4组,3,"[-1.218, -0.571]",18,12.761873046936337,13.908154789617996,13.856986501637806,1.1462817426816585,1.2778602704765933,1.146281742681658,0.5647698976195649,13.028410690412231,15.216056853758102,"{'GAMM残差噪声': np.float64(0.05728755974966639), '时间相关噪声': np.float64(0.2134965720963627), '聚类内变异噪声': np.float64(0.2134965720963627), '平均总噪声': np.float64(0.2812271203831347)}","{'10周内检出率': np.float64(0.0), '15周内检出率': np.float64(0.957), '20周内检出率': np.float64(1.0), '有效检测率': np.float64(1.0)}"
第5组,4,"[2.935, 4.845]",4,17.63550144760074,20.21831053897314,20.082213970469716,2.5828090913724004,2.8568882138068674,2.5828090913724013,1.2210272166142182,18.356124152378293,22.860081746448067,"{'GAMM残差噪声': np.float64(0.24434603537896865), '时间相关噪声': np.float64(0.4761777928992702), '聚类内变异噪声': np.float64(0.4761777928992702), '平均总噪声': np.float64(0.6336626818872425)}","{'10周内检出率': np.float64(0.0), '15周内检出率': np.float64(0.0), '20周内检出率': np.float64(0.477), '有效检测率': np.float64(1.0)}"
第6组,5,"[0.096, 0.874]",8,10.472793180631513,11.164365439566794,11.131483702785092,0.6915722589352811,0.7774798065741291,0.6915722589352825,0.3552501376519024,10.577295705521273,11.970930842001628,"{'GAMM残差噪声': np.float64(0.006798802629218678), '时间相关噪声': np.float64(0.13400050428125257), '聚类内变异噪声': np.float64(0.13400050428125257), '平均总噪声': np.float64(0.16966934713819506)}","{'10周内检出率': np.float64(0.0), '15周内检出率': np.float64(1.0), '20周内检出率': np.float64(1.0), '有效检测率': np.float64(1.0)}"
第7组,6,"[-0.894, -0.221]",61,16.22473750047706,17.391825576037633,17.29861811822635,1.1670880755605708,1.3163488844513447,1.1670880755605717,0.6088347965422318,16.49045558519135,18.76359373605425,"{'GAMM残差噪声': np.float64(0.04426413354454416), '时间相关噪声': np.float64(0.2258396711202787), '聚类内变异噪声': np.float64(0.2258396711202787), '平均总噪声': np.float64(0.2863317162808078)}","{'10周内检出率': np.float64(0.0), '15周内检出率': np.float64(0.0), '20周内检出率': np.float64(1.0), '有效检测率': np.float64(1.0)}"
第8组,7,"[-3.857, -3.857]",1,22.080830497189396,23.730378540029058,23.65016336201208,1.6495480428396618,1.8679804359985952,1.6495480428396634,0.8765512897927525,22.347104282538854,25.714418712736656,"{'GAMM残差噪声': np.float64(4.839349969133127e-16), '时间相关噪声': np.float64(0.3245698746344595), '聚类内变异噪声': np.float64(0.3245698746344595), '平均总噪声': np.float64(0.40469775339540337)}","{'10周内检出率': np.float64(0.0), '15周内检出率': np.float64(0.0), '20周内检出率': np.float64(0.0), '有效检测率': np.float64(1.0)}"
第9组,8,"[0.385, 1.312]",36,17.597699464249455,18.74292431222353,18.64991862356731,1.1452248479740739,1.2907979371841989,1.1452248479740732,0.5954992545937774,17.827637047449272,20.101521542556483,"{'GAMM残差噪声': np.float64(0.02408601027531939), '时间相关噪声': np.float64(0.2229774273664875), '聚类内变异噪声': np.float64(0.2229774273664875), '平均总噪声': np.float64(0.2809678233498705)}","{'10周内检出率': np.float64(0.0), '15周内检出率': np.float64(0.0), '20周内检出率': np.float64(0.965), '有效检测率': np.float64(1.0)}"
