模型,MAE_mean,MAE_std,MedAE_mean,MedAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
M4_interact_BA,0.024698,0.001060,0.021826,0.001383,0.031014,0.001446,0.145091,0.056415
M1_baseline,0.024763,0.001135,0.021996,0.001534,0.031030,0.001457,0.144516,0.051510
M6_add_pregnancy_linear,0.024796,0.001132,0.022181,0.001454,0.031031,0.001482,0.144489,0.051736
M7_add_birth_linear,0.024782,0.001112,0.022221,0.001617,0.031035,0.001510,0.144251,0.053407
M8_add_preg_birth_linear,0.024809,0.001123,0.022275,0.001676,0.031053,0.001516,0.143334,0.052843
M2_interact_WB,0.024778,0.001115,0.022182,0.001392,0.031136,0.001452,0.138577,0.052727
M3_interact_WA,0.024820,0.001192,0.021864,0.001500,0.031174,0.001468,0.136341,0.055711
M5_all_pairwise_interactions,0.024767,0.001074,0.021755,0.001556,0.031268,0.001374,0.130839,0.056433
M9_full_main_linear_counts_all_interactions,0.024798,0.001069,0.021766,0.001857,0.031288,0.001462,0.129884,0.057440
